Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  568.421052631579  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  578.9473684210527  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  589.4736842105264  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  600.0  ,  0.20000000000000312  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  200.0  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  211.11111111111111  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  222.22222222222223  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  233.33333333333331  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  244.44444444444446  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  255.55555555555554  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  266.66666666666663  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  277.77777777777777  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  288.8888888888889  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 24  ,  300.0  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  10.0  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  14.444444444444445  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  18.88888888888889  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  23.333333333333336  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  27.77777777777778  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  32.22222222222222  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  36.66666666666667  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  41.111111111111114  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  45.55555555555556  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 3  ,  50.0  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  500.0  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  511.1111111111111  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  522.2222222222222  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  533.3333333333334  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  544.4444444444445  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  555.5555555555555  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  566.6666666666666  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  577.7777777777778  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  588.8888888888889  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x14c79a5c2700>  (PXe,PAr,f)  ( 50  ,  600.0  ,  0.5000000000000167  )
